Merchant Transaction Free Text,Merchant Name
LANDMARK HOTEL - RIQQA DUBAI         AE,LANDMARK HOTEL - RIQQA
COSTA COFFEE           DUBAI         AE,COSTA BR OF MMI 2
SALAM STUDIO & STORES  DUBAI         AE,SALAM STUDIO&STORES
SKELMORE HOSPITALITY-M DUBAI         AE,SKELMORE HOSPITALITY-MELC
ZORION TRADING         DUBAI         AE,ZORION TRADING  -257201
BUSINESS SYSTEMS HOUSE FZ LLC,
ZHONE TECHNOLOGIES INTERNATIONAL INC,
DIAL A NAIL-PALM BR    DUBAI         AE,DIAL A NAIL-PALM BR
EMIRATES    1762300635 DUBAI         AE,EMIRATES
METLIFE UAE,
ADIDAS EMERGING MARKET DUBAI         AE,ADIDAS EMERGING -191406
JUICY AVENUE CAFE      DUBAI         AE,JUICY AVENUE CAFE
HARVEY NICHOLS (DUBAI) DUBAI         AE,HARVEY NICHOLS (DUBAI)LLC
CHOCO'A LLC            DUBAI         AE,CHOCO'A LLC
CNC DUB CORP ACTION SUS AC,
FONOGRAF CAFE & RESTAU DUBAI         AE,FONOGRAF CAFE & RESTAU
KISMAT ENERGY DMCC,
ADNIC DISBURSEMENT ACCOUNT,
APPAREL LLC            DUBAI         AE,APPAREL LLC     -390504
ADAC ABU DHABI AIRPORTS COMPANY,
AMANA CONTRACTING,
FOOD MARK LLC          DUBAI         AE,FOOD MARK LLC   -541002
OASIS AUTO PARTS LLC   DUBAI         AE,OASIS AUTO PARTS LLC
TAQADO RESTAURANT      DUBAI         ARE,TAQADO RESTAURANT
SHANGRI-LA DUBAI HOTEL DUBAI         AE,SHANG PALACE
JONES LANG LASALLE UAE LIMITED,
MAN SE,
TRANSGUARD GROU,
MAMAESH PASTRY         DUBAI         AE,MAMAESH PASTRY
M UAE EX HANGE ENTRE LL,
ARYA CLINIC            DUBAI         AE,ARYA CLINIC
MAX ELECTRONICS LLC    DUBAI         AE,MAX ELECTRONICS -051115
SHELL TREASURY CENTRE LIMITED,
ASSOCIATED FOREIGN EXCHANGE,
MADAREK LLC            DUBAI         AE,MADAREK LLC     -711949
LUCKYS PIZZA           DUBAI         ARE,LUCKYS PIZZA
LIFESTYLE BR           DUBAI         AE,LIFESTYLE BR    -154880
ALTO MAR RESTAURANT LL DUBAI         AE,ALTO MAR RESTAURANT LL
DAISO JAPAN VALUE STOR DUBAI         AE,DAISO JAPAN VALU-051227
LOUIS BERGER SAS,
SEAN CONNOLLY AT DUBAI DUBAI         AE,SEAN CONNOLLY AT DUBAI
BOSPORUS GOURMET REST. DUBAI         ARE,BOSPORUS GOURMET REST.
COMZEST TRADING FZC,
MALABAR SUPERMARKET    DUBAI         AE,MALABAR SUPERMARKET
SKI DUBAI              DUBAI         AE,SKI DUBAI 1
MCDONALDS-ENOC 1092    DUBAI         AE,MCDONALDS-ENOC 1092
TEPCO FUEL AND POWER INCORPORATE,
FRENCH DEPARTMENT STOR DUBAI         AE,GALERIES LAFAYETTE
DANUBE HOME LLC        DUBAI         AE,DANUBE HOME LLC
CHEZ CHARLES RESTAURAN DUBAI         AE,CHEZ CHARLES RESTAURAN
THE CHOCOLATE BOUTIQUE ABU DHABI     AE,THE CHOCOLATE BOUTIQUE
STARBUCKS CC 3869      DUBAI         AE,STARBUCKS CC 386-491009
HSBC,
CIE STGOBAIN AVENUE DALSACE COURBEVOIE,
BLUE MANDARINE RESTAUR DUBAI         AE,BLUE MANDARINE RESTAURANT
STEIGENBERGER HOTEL BU DUBAI         AE,STEIGENBERGER HOTEL BU
LEO BURNETT FZ LLC,
NORTHERN TRUSTTRUSTEE,
BISSAN DENTAL CENTER L DUBAI         AE,BISSAN DENTAL CENTER LLC
BB ALMARAI COMPANY,
ETIHAD ETISALAT COMPANY MOBILY OLAYA STREET KINGDOM CENTER,
MCDONALDS-54002        DUBAI         ARE,MCDONALDS-54002
REGENT PALACE HOTEL    DUBAI         AE,REGENT PALACE HOTEL
MOSCOW HOTEL           DUBAI         AE,MOSCOW HOTEL
VIDA DOWNTOWN DUBAI HO DUBAI         AE,VIDA DOWNTOWN DUBAI HOTEL
EPIC MIDDLE EAST FZ LLC,
BURBERRY MIDDLE EAST LLC,
EMARAT-AL AMEEN(6635)  DUBAI         AE,EMARAT-AL AMEEN - 6635
FOUR POINTS BY SHERATO DUBAI         AE,FOUR POINTS BY SHERATO
GRAND STORES SAMSONITE DUBAI         AE,GRAND STORES SAMSONITE
TREASURY HOLDING COMPANY,
SNOOKER WORLD          DUBAI         AE,SNOOKER WORLD
SAROJA RESTAURANT & CA DUBAI         AE,SAROJA RESTAURANT & CAFE
RICHEMONT DUBAI FZE,
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-762403
ROSSOVIVO ARTISAN PIZZ DUBAI         AE,CULINARIA
ANGELINA RESTARANT LLC DUBAI         AE,ANGELINA RESTARANT LLC
CREATIVE MINDS GENERAL DUBAI         AE,CREATIVE MINDS GEN TRD
EVERSENDAI OFFSHORE RMC FZE,
ONE SHARE PLC,
TMF SERVICES,
GRANDEUR HOTEL         DUBAI         AE,GRANDEUR HOTEL
SUDANESE MOBILE TELEPHONE COMPANY LIMITED,
WATER GRILL FACILITIES DUBAI         ARE,WATER GRILL FACILITIES
F.G.E THE WAREHOUSE    DUBAI         AE,FALAKNAZ-THE WAREHOUSE
SPINNEYS DUBAI LLC     DUBAI         AE,SPINNEYS DUBAI LLC 28
FOUR POINTS BY SHERATO DUBAI         AE,LEVEL 43 - FOUR POINTS
FRESH WELL SUPERMARKET DUBAI         ARE,FRESH WELL SUPERMARKET
E I T TELECOM -DU      DUBAI         AE,E I T TELECOM -D-136562
GULF COAL TRADING LLC,
NTDE-SMOKERS CENTER    DUBAI         AE,NTDE-SMOKERS CEN-264101
PICCOLO MONDO BAY REST DUBAI         AE,PICCOLO MONDO BAY REST.
TARGET ENGINEERING CONSTRUCTION RU COMPANY LLC,
BEIN SPORTS,
TOKO RESTAURANT LLC    DUBAI         AE,TOKO RESTAURANT LLC
CANADIAN UNIVERSITY OF DUBAI         AE,CANADIAN UNIVERSITY OF
MANCHESTER TYRE TRDG L DUBAI         AE,MANCHESTER TYRE -724501
SPEED WAY AUTO SPARE P DUBAI         AE,SPEED WAY AUTO S-474609
GOVINDAS RESTAURANT    DUBAI         AE,GOVINDAS RESTAURANT
ETISALAT-DXB-AL WASL 1 DUBAI         ARE,ETISALAT-DXB-AL WASL 1
GRAND AL KAUSAR PHARMA DUBAI         AE,GRAND AL KAUSAR PHARMA
BAY SQUARE HOTEL LLC   DUBAI         AE,BAY SQUARE HOTEL-225819
IBIS DEIRA CITY CENTRE DUBAI         AE,IBIS DEIRA CITY CENTRE
UASC UNITED ARAB SHIPPING COMPANY SAG AIRPORT ROAD SAFAT KUWAIT,
SUPREME CHI ENERGY SPA DUBAI         AE,SUPREME CHI ENERGY SPA
AL JAZEERA FURNIURE    ABU DHABI     AE,AL JAZEERA FURNITURE
RITZ RENT A CAR LLC    DUBAI         AE,RITZ RENT A CAR LLC
HEALTH BAY POLYCLINIC  DUBAI         ARE,HEALTH BAY POLYCLINIC
KINOKUNIYA BOOK STORES SINGAPORED X OFFICE NO SF ND FLOORTHE,
THE LOFT FIFTH AVENUE  DUBAI         AE,THE LOFT FIFTH AVENUE BTY
LE MERIDIEN MINA SEYAH DUBAI         AE,LE MERIDIAN MINA SEYAH
WORLD WIDE EMIRATES SERVICES,
GOVT OF SHARJAH CUSTOM DUTY ACCOUN T UAE UAE COMPANY SIB MAIN BR HOLD M SHARJAH AE,
EMIRATES GROUP EMIRATES UNITED STATES DELMONICA PLAZA E TH,
KIDZANIA               DUBAI         AE,KIDZANIA
ONE & ONLY ROYAL MIRAG DUBAI         AE,RESERVATION-RMH
AL JASMI MOBILE PHONES DUBAI         AE,AL JASMI MOBILE PHONES
GIRODANO FASHIONS LLC  ABU DHABI     AE,GIORDANO FASHIONS LLC
NINEVEH RENT A CAR LLC DUBAI         AE,NINEVEH RENT A CAR LLC
APPETITE THE SHOP      DUBAI         AE,APPETITE THE SHOP
FGT INDUSTRIES FZE,
MASDAR OFFSHORE WIND UK LIMITED,
MCDONALDS- AL WARQAA   DUBAI         AE,MCDONALDS- AL WARQAA
MAHELE LIMITED,
YAH ADVANCED SATELLITE,
EUROCONTROL,
THE NAIL SPA           DUBAI         AE,THE NAIL SPA    -782803
MCDONALDS-AL GHURAIR C DUBAI         AE,MCDONALDS-AL GHURAIR CITY
THE LIME TREE CAFE LLC DUBAI         AE,THE LIME TREE CA-241510
MAB FACILITIES MANAGEMENT LLC,
BURJ AL ARAB           DUBAI         AE,SCAPE REST 1
JASMINE FOOD COURT     DUBAI         AE,JASMINE FOOD COURT
BOEING COMMERCIAL AIRPLANES,
WUERTH FINANCE INTER,
ARMAN CAFE             DUBAI         AE,ARMAN CAFE
LMC CONCENTRATION,
CHINA VALLEY RESTAURAN DUBAI         AE,CHINA VALLEY RESTAURANT
CARIBOU COFEE          DUBAI         AE,CARIBOU COFEE   -241080
SHAKESPEARE & CO.      DUBAI         AE,SHAKESPEAR & CO
MAX ELECTRONICS LLC    DUBAI         AE,MAX ELECTRONICS -043621
LIBERTY RENT A CAR     ABU DHABI     AE,LIBERTY AUTOMOBILES CO
MIRAQE GENERAL TRADING DUBAI         AE,MIRAQE GENERAL T-059805
WTC RESIDENTIAL RENT AC,
LE MERIDIEN DUBAI      DUBAI         AE,SEWAR
SRILANKAN AIRLINES LIMITED,
CIRCLE RESTAURANT LLC  DUBAI         AE,CIRCLE RESTAURANT LLC
ZERO GRAVITY RESTAURAN DUBAI         AE,ZERO GRAVITY RESTAURAN
LA MARQUISE DIAMONDS & DUBAI         AE,LA MARQUISE DIAMONDS &
ALMAJLIS PHARMACY LLC  DUBAI         AE,ALMAJLIS PHARMACY LLC
BURJEEL PHARMACY LLC B ABU DHABI     AE,BURJEEL PHARMACY LLC B
NORTH TOURS LLC        DUBAI         AE,NORTH TOURS
ORANGE SA,
APPLE CREEK CAF  & RES DUBAI         AE,APPLE CREEK CAFï؟½-171145
EPPCO SITE 2           DUBAI         AE,EPPCO-SITE NO.2
DR ISMAIL NEW POLYCLIN DUBAI         ARE,DR ISMAIL NEW POLYCLIN
WILSHIRE SUPERMARKET L DUBAI         AE,WILSHIRE SUPERMA-889101
MARUTI ENERGY DMCC,
SWATCH SAHARA CENTRE 2 DUBAI         AE,SWATCH 1
SHOEMART               DUBAI         AE,SHOEMART        -760532
KZ,
DUBAI HERBAL & TREATME DUBAI         AE,DUBAI HERBAL & TREATMENT
CARIBOU COFFEE         DUBAI         AE,CARIBOU COFFEE  -151003
TOTAL TREASURY S A S U,
THE EMIRATES GENERAL,
RESTOFAIR RAK LLC      DUBAI         AE,RESTOFAIR RAK LLC
AL SAYER RETAIL ESTABL DUBAI         AE,AL SAYER RETAIL -131746
DUBAI POLO & EQUESTRIA DUBAI         ARE,DUBAI POLO & EQUESTRIA
TRANSAGRI DMCC,
MANILA PHONES LLC      DUBAI         AE,MANILA PHONES LLC
"ATLANTIS THE PALM,DUBA DUBAI         AE",ASIA REPUBLIC-ATLANTIS
GOVERNMENT OF RAS ALKHAIMAH AC,
MIELE CIE KG,
GOOGLE PAYMENT CORP,
AL SAYER RETAIL EST-CA DUBAI         AE,AL SAYER RETAIL -761082
MAHMAYI OFFICE FURNITU DUBAI         AE,MAHMAYI OFFICE FURNITU
PARAMOUNT LOGISTICS CORPORATION LIMITED,
SHARJAH ELECTRICITY AND WATER,
"ATLANTIS THE PALM,DUBA DUBAI         AE",ATLANTIS THE PALM LIMI
MIX MARTIAL ARTS FITNE DUBAI         AE,MIX MARTIAL ARTS FITNE
VAN OORD RMC FZE,
AWS ONLINE ACCOUNT,
IRAN PHARMACY          DUBAI         AE,IRAN PHARMACY
ABU DHABI PORTS OPERATING COMPANY,
AXIOM BAWABT AL SHARQ  DUBAI         AE,AXIOM TELECOM
SPINNEYS DUBAI LLC     DUBAI         AE,SPINNEYS RESIDENCE EMA
NANDOS UAE LLC         DUBAI         AE,NANDO'S U.A.E LLC
PAK ARAB REFINERY LIMITED,
BARAKAT VEGETABLES AND FRUITS COMPANY LLC,
GEMS WINCHESTER SCHOOL DUBAI         AE,GEMS WINCHESTER SCHOOL
WALDORF ASTORIA HOTEL  DUBAI         AE,WALDORF ASTORIA -241145
ROYAL MIRAGE HOTEL,
MICROTOP TRADING FZE,
VIVALTO SANTE HOLDING,
PPM CONRAD HOTEL DUBAI DUBAI         AE,PPM CONRAD HOTEL DUBAI
LEMON GRASS THAI RESTR DUBAI         AE,LEMON GRASS THAI-221096
AXIOM TELECOM          DUBAI         AE,AXIOM TELECOM   -356515
ADCO DOLLAR ACCOUNT,
ASTER GRAND PHARMACY L DUBAI         AE,ASTER GRAND PAHRMACY
AL MAYA APPAREL LLC    DUBAI         AE,AL MAYA APPAREL -059007
PERI LLC,
STEFANO RICCI          ABU DHABI     AE,STEFANO RICCI
EXECUTIVE COUNCIL,
THE RITZCARLTON ABU DHABI GRAND,
HYATT HOTELS-HYATT REG DUBAI         AE,AL DAWAAR 2
I STYLE COMPUTERS LLC- DUBAI         AE,I STYLE COMPUTERS 3
REEM AL BAWADI REST-BR DUBAI         ARE,REEM AL BAWADI REST-BR
NAD AL-SHIBA VETERINAR DUBAI         AE,NAD AL-SHIBA VETERINAR
THE BUTCHER SHOP & GRI DUBAI         AE,THE BUTCHER SHOP & GRI
AL HALLAB RESTAURANT & DUBAI         AE,AL HALLAB REST & SWEET
SUPERCARE GARDENS PHAR DUBAI         AE,SUPERCARE GARDEN PHARM
LIFESTYLE LLC          DUBAI         AE,LIFESTYLE LLC   -470304
BDT CAPITAL,
LOCKTON MENA LIMITED,
MONJASA DMCC,
ALCON PRIVATE BANK A,
QATAR PETROLEUM,
NOBLE CLEAN FUELS LIMITED,
DR.EHAB RASHED DENTAL  DUBAI         AE,DR.EHAB RASHED DENTAL
LE MERIDIEN DUBAI      DUBAI         AE,SEAFOOD MARKET 04
THALES SOCIETE ANONYME,
BCD TRAVEL BR          DUBAI         AE,BCD TRAVEL BR
ANSAR GALLERY LLC      DUBAI         AE,ANSAR GALLERY LL-172628
ELITE PARTNERS NOVELTI DUBAI         AE,ELITE PARTNERS NOVELTI
MILANO - 3845          DUBAI         AE,MILANO - 3845   -158128
HOME CENTRE            DUBAI         AE,HOME CENTRE     -460702
TEXAS CHICKEN-SPORT CI DUBAI         AE,TEXAS CHICKEN
EMIRATES    1762311454 DUBAI         AE,EMIRATES
AABAR INVESTMENTS P J S,
QUADRANT PRIVATE EQUITY NO LLP,
ARABIAN AUTOMOBILES CO DUBAI         ARE,ARABIAN AUTOMOBILES CO
SLIN INTERNATIONAL TRADE LIMITED,
DUBAI MARINE BEACH RES DUBAI         AE,DUBAI MARINE BEACH RES
MAJELAN AUTO SPARE     DUBAI         AE,MAJELAN AUTO SPARE
BEAUTY CONNECTION SPA  DUBAI         ARE,BEAUTY CONNECTION SPA
CHELSEA GARDEN 1 HOTEL DUBAI         AE,CHELSEA TOWER 2
LE MERIDIEN MINA SEYAH DUBAI         AE,BARASTI BAR 9-LMMS
GLORIA JEANS COFFEE    DUBAI         AE,GLORIA JEANS COFFEE
MOHAMED ALI ALABBAR,
KIFKIF RESTAURANT CO.  DUBAI         AE,KIFKIF RESTAURANT CO.
HATAM RESTAURANT       DUBAI         AE,HATAM RESTAURANT
EMIRATES    PYS/02MAR2 DUBAI         AE,EMIRATES
MONTREAL ALD IBN       DUBAI         AE,MONTREAL ALD IBN-470511
LE MERIDIEN MINA SEYAH DUBAI         AE,LE MERIDIEN MINA SEYAH
FZF INVICTUS TRADING,
EMIRATES TOWERS HOTEL  DUBAI         AE,ALFIES
EMIRATES STEEL INDUSTRIES PJSC,
COMMON GROUNDS CAFE LL DUBAI         AE,COMMON GROUNDS CAFE LL
NATIONAL JEWELLERS     AL AIN        AE,NATIONAL JEWELLERS
BERSHKA                DUBAI         AE,BERSHKA
MAISON DE JOELLE BEAUT DUBAI         AE,MAISON DE JOELLE BEUTY
SAYEDAH RESTAURANTS    DUBAI         AE,SAYEDAH RESTAURANTS
PARMAR TOURISM LLC     DUBAI         AE,PARMAR TOURISM LLC
BB LEM ALMUZAINI,
PLAY REST AND LOUNGE   DUBAI         AE,PLAY REST AND LOUNGE
CARREFOUR              DUBAI         AE,CARREFOUR
PROCUREMENT COMPANY SAL OFFSHORE ABU DHABI CONSOLIDATED CONTRACTING E NGINEERING,
RICH AND FAMOUS TRADIN DUBAI         AE,RICH AND FAMOUS -568009
HELENA ELECTRONICS TRADING LLC,
KHATIB AND ALAMI,
EMIRATES    1762195564 DUBAI         AE,EMIRATES
EMIRATES    7623105161 DUBAI         AE,EMIRATES
PARKER DRILLING OVERSEAS BV,
OPERATION FALAFEL REST DUBAI         AE,OPERATION FALAFEL DELI
AAFAQ HOLDING LLC,
EMIRATES MOTOR COMPANYEMC SHOWROOM,
WILMAR SUGAR PTE,
MADINAT JUM - F&B      DUBAI         AE,AL FAYROOZ 3
GAZEBO RESTAURANT      DUBAI         AE,GAZEBO RESTAURAN-471027
GULF GREETINGS GEN TRD DUBAI         AE,GULF GREETINGS G-711502
ABU DHABI WTR ELECTRIC AUTHORITY,
BAIT AL BATTERJEE MEDICAL COMPANY DUBAI BRANCH,
SINGAPORE TELECOMMUNICATIONS LIMITED,
OLYMPIC AVIATION,
FOR HUMANITARIAN CARE SPECIAL NE EDS ZAYED HIGHER ORGANIZATION,
NESPRESSO-DUBAI MALL   DUBAI         AE,NESPRESSO-DUBAI MALL
SOCAR TRADING MIDDLE EAST DMCC,
COSTA - THE RETREAT    DUBAI         AE,COSTA COFFEE
DUBAI PARKS AND RESORTS PJSC,
ARABIAN PARK HOTEL     DUBAI         AE,ARABIAN PARK HTL
PAPPAROTI CAFE         DUBAI         AE,PAPPAROTI CAFE  -227202
DEIRA LINE ELECTRONICS DUBAI         ARE,DEIRA LINE ELECTRONICS
NANDOS UAE LLC         DUBAI         AE,NANDOS UAE LLC  -895803
HOME CENTRE GULF LLC   DUBAI         AE,HOME CENTRE GULF-053337
INTERNAL REVENUE,
MAESTRO TRADING        DUBAI         ARE,MAESTRO TRADING
JOHNSON CONTROLS,
SHIMADZU CORPORATION,
HOLIDAY INN EXPRESS    DUBAI         AE,HOLIDAY INN EXPRESS RE
BIN SERAY PHARMACY     DUBAI         AE,BIN SERAY PHARMACY
DUDGEON OFFSHORE WIND LIMITED,
EMIRATES    1762198921 DUBAI         AE,EMIRATES
ABU DHABI JUDICIAL DEPARTMENT,
RAND PHARMACY          DUBAI         AE,RAND PHARMACY   -224414
MOEVENPICK HOTELS      DUBAI         AE,MOVNPICK HOTEL
UNIVERSAL LUBRICANTS FZE,
C CARD FZ LLC,
THE DRAFT HOUSE        DUBAI         AE,EMIRATES LEISURE RETAI
KFC BAWABIT AL SHARQ   DUBAI         AE,KFC BAWABIT AL S-055815
UNION MEDICAL CENTRE   DUBAI         AE,UNION MEDICAL CENTRE (
MCDONALDS-ENOC 6001 AL DUBAI         AE,MCDONALDS-ENOC 6001 AL TW
NEC CORPORATION,
SHELL MARKETS MIDDLE EAST LIMITED,
AL KANZ PHARMACY       DUBAI         AE,AL KANZ PHARMACY LLC
LE MERIDIEN DUBAI      DUBAI         AE,LE MERIDIEN DUBAI
EMIRATES    7EF/03NOV2 DUBAI         AE,EMIRATES
PETROFAC INTLTD SHARJAH BRANCH,
OASIS PALM TOURISM LLC DUBAI         AE,OASIS PALM TOURI-174718
LANDMARK RETAIL INVEST DUBAI         AE,LANDMARK RETAIL -072026
AL DOURI MART S/M & RO DUBAI         AE,AL DOURI MART SUPERMAR
CPC CORPORATION,
ONE & ONLY ROYAL MIRAG DUBAI         AE,THE ESPLANADE-RMH
SEHA BEMAFRAQ HOSPITAL AC,
ISG MIDDLE EAST LLC,
BIG CHEF STUDIO        DUBAI         AE,BIG CHEF STUDIO
STATE SECURITY DEPARTMENT,
THE SCENE RESTAURANT   DUBAI         AE,THE SCENE RESTAURANT
ENGINE ALLIANCE LLC,
PURANMAL SWEETS        DUBAI         AE,PURANMAL SWEETS -231023
DOUBLE TREE BY HILTON  DUBAI         AE,DOUBLE TREE BY H-737602
HORIZON INVESTMENTS,
NATIONAL STORES LLC    DUBAI         AE,NATIONAL STORES LLC
ANSAR GALLERY LLC BRAN DUBAI         AE,ANSAR GALLERY LL-882602
EMIRATES    MXS/04JAN2 DUBAI         AE,EMIRATES
SOHO GRILL             DUBAI         AE,SOHO GRILL
T. CHOITHRAM & SONS    DUBAI         AE,T.CHOITHRAM & SONS 1
SAMA FAST FOOD(SUBWAY) ABU DHABI     AE,SUBWAY-1
STARBUCKS - 3754       DUBAI         AE,STARBUCKS - 3754-171055
MCGETTIGANS JLT        DUBAI         AE,MCGETTIGANS JLT
THE CENTRE OF WASTE MANAGEMENT ABU,
CGG SERVICES SA,
GS ENGINEERING AND,
JADWA INVESTMENT COMPANY RIYADH MAIN KING ABDULAZIZ ST,
TELECOM EGYPT,
MPM PROPERTIES,
THE BODY SHOP (DCC)    DUBAI         AE,THE BODY SHOP (DCC)
COURTYARD BY MARRIOTT  DUBAI         AE,CUCINA-COURTYARD BY M
SPINNEYS               DUBAI         AE,SPINNEYS DUBAI LLC 27
"AL AIN EQUESTRIAN,SHOO AL AIN        AE",THE PALM SPORTS RESORT
SAIF AL GHURAIR INVSTMENT GROUP LL,
ALADINS CAVE TRADING   DUBAI         AE,ALADINS CAVE TRADING
THE JUMEIRAH BEACH HOT DUBAI         AE,PALM COURT 3
OLIVER WYMAN FZ LLC,
GULF GREETING - TOY ST DUBAI         AE,GULF GREETING - -711503
CHOWKING ORIENT RESTRN DUBAI         AE,CHOWKING ORIENT -261052
ARENCO REAL ESTATE,
EPPCO SITE 1033        DUBAI         AE,EPPCO SITE 1033
NEW WESTZONE SMKT DPT  DUBAI         AE,NEW WESTZONE SMK-172601
PPM CONRAD HOTEL DUBAI DUBAI         ARE,PPM CONRAD HOTEL DUBAI
SAPORI DI BICE RESTAUR DUBAI         AE,SAPORI DI BICE RESTAUR
AIN SPORTS,
BANCO DE INVESTIMENTOS CREDIT SUISS,
DAMAS JEWELLERY-AMM    DUBAI         AE,DAMAS JEWELLERY--081757
CHEIL MEA FZ LLC,
TAVOLA TRADING LLC     DUBAI         AE,TAVOLA TRADING LLC
GINNY'S RESTAURANT & C DUBAI         AE,GINNY'S RESTAURANT
AL WALEED PALACE HOTEL DUBAI         AE,F/OFF 3-AL WALEED PAL
MAJID AL FUTTAIM PROPERTIES LLC,
BT SOLUTIONS LIMITED,
LASIRENE GENTS SALON   DUBAI         AE,LASIRENE GENTS SALON
CEPSA INTERNATIONAL BV,
POSCO DAEWOO CORPORATION,
FUME NEIGHBOURHOOD RES DUBAI         AE,FUME NEIGHBOURHOOD RES
RAMADA HOTEL DUBAI     DUBAI         AE,RAMADA HOTEL DUBAI FO1
BAYANAT ALOULA,
CHRISTIAN DIOR COUTURE,
JUMEIRA ROTANA HOTEL-3 DUBAI         AE,JUMEIRAH ROTANA HOTEL
SWATCH                 DUBAI         AE,SWATCH
OPERATION FELAFEL REST DUBAI         AE,OPERATION FALAFEL
BHARTI AIRTEL LIMITED,
BROWN BROTHERS HARRIMAN AND COMPANY,
ABM CARE COMPUTER SVCS DUBAI         AE,ABM CARE COMPUTER SVCS
AUREOLE TRADING LLC,
FORN BEIK RESTAURANT   DUBAI         AE,FORN BEIK RESTAURANT
T CHOITHRAM N SONS     DUBAI         AE,T CHOITHRAM N SONS
AE60053AED1756800500002 RETAIL BANKING OPERATIONS ALHILAL BANK PB NO 63111 ABUDHA,
SUSHINA FOR SUSHI AND  DUBAI         AE,SUSHINA FOR SUSHI AND
ABDELWAHAB             Dubai         AE,ABDELWAHAB
EXPRESS BY HOLIDAY INN DUBAI         AE,GREAT ROOM-EXPRESS BY
SAMPAT JEWELLERS LLC   DUBAI         AE,SAMPAT JEWELLERS LLC
MARHABAN GOLD JEWELLER DUBAI         AE,MARHABAN GOLD JE-724801
CHA CHA CHAI CAFE BR   DUBAI         AE,CHA CHA CHAI CAFE BR
MEDICOM PHARMACY 2     DUBAI         AE,MEDICOM PHARMACY 2
UZB AVENUE RETAURANT   DUBAI         AE,UZB AVENUE RESTAURANT
GUEST,
ABU DHABI NATIONAL LEASING LLC,
